time_s,temp_C
572.56,46.64
573.06,46.78
573.56,46.56
574.06,46.74
574.56,46.58
575.06,46.45
575.56,46.50
576.06,46.48
576.56,46.60
577.06,46.74
577.56,46.64
578.06,46.53
578.56,46.60
579.06,46.66
579.56,46.54
580.06,46.67
580.56,46.74
581.06,46.50
581.56,46.68
582.06,46.62
582.56,46.83
583.06,46.73
583.56,46.66
584.06,46.70
584.56,46.74
585.06,46.74
585.56,46.71
586.06,46.56
586.56,46.64
587.06,46.66
587.56,46.77
588.06,46.60
588.56,46.60
589.06,46.60
589.56,46.60
590.06,46.68
590.56,46.72
591.06,46.83
591.56,46.88
592.06,46.62
592.56,46.77
593.06,46.66
593.56,46.69
594.06,46.58
594.56,46.71
595.06,46.70
595.56,46.90
596.06,46.30
596.56,46.52
597.06,46.71
597.56,46.73
598.06,46.79
598.56,46.79
599.06,46.72
599.56,46.72
600.06,46.63
600.56,46.70
601.06,46.59
601.56,46.85
602.06,46.47
602.56,46.60
603.06,46.71
603.56,46.72
604.06,46.69
604.56,46.75
605.06,46.79
605.56,46.73
606.06,46.39
606.56,46.65
607.06,46.83
607.56,46.89
608.06,46.86
608.56,46.53
609.06,46.73
609.56,46.78
610.06,46.75
610.56,46.94
611.06,46.70
611.56,46.76
612.06,46.82
612.56,46.66
613.06,46.79
613.56,46.74
614.06,46.58
614.56,46.70
615.06,46.67
615.56,46.75
616.06,46.74
616.56,46.68
617.06,46.78
617.56,46.89
618.06,46.88
618.56,46.78
619.06,46.67
619.56,46.72
620.06,46.71
620.56,46.89
621.06,46.78
621.56,46.81
622.06,46.85
622.56,46.97
623.06,46.73
623.56,47.04
624.06,46.64
624.56,46.93
625.06,46.84
625.56,46.85
626.06,46.56
626.56,46.68
627.06,46.67
627.56,46.92
628.06,46.69
628.56,46.78
629.06,46.99
629.56,46.98
630.06,46.67
630.56,46.59
631.06,46.63
631.56,46.87
632.06,46.76
632.56,46.82
633.06,46.67
633.56,46.81
634.06,46.86
634.56,46.69
635.06,46.95
635.56,46.84
636.06,46.87
636.56,46.88
637.06,46.76
637.56,47.01
638.06,46.84
638.56,46.75
639.06,46.92
639.56,46.63
640.06,46.93
640.56,46.85
641.06,46.67
641.56,46.94
642.06,46.65
642.56,46.84
643.07,46.79
643.56,46.90
644.06,46.85
644.56,46.78
645.07,47.14
645.56,46.82
646.06,46.86
646.56,46.74
647.07,47.11
647.56,47.17
648.06,46.87
648.56,46.81
649.07,46.71
649.56,46.80
650.06,47.00
650.56,46.94
651.06,46.75
651.56,46.85
652.06,46.77
652.56,46.96
653.06,46.81
653.56,46.88
654.06,46.93
654.56,46.87
655.06,46.85
655.56,46.63
656.06,46.82
656.56,46.90
657.06,47.05
657.56,46.88
658.06,46.89
658.56,47.04
659.06,46.85
659.56,46.84
660.06,46.87
660.56,47.00
661.06,46.88
661.56,46.80
662.06,46.84
662.56,46.86
663.06,46.91
663.56,46.94
664.06,46.86
664.56,47.03
665.06,46.84
665.56,46.85
666.06,47.05
666.56,46.81
667.06,46.76
667.56,47.05
668.06,46.98
668.56,47.07
669.06,46.99
669.56,46.93
670.06,47.00
670.56,46.91
671.06,46.87
671.56,46.84
672.06,47.01
672.56,46.89
673.06,47.05
673.56,46.81
674.06,46.88
674.56,46.85
675.06,46.81
675.56,46.92
676.06,46.86
676.56,46.95
677.06,46.89
677.56,46.85
678.06,46.94
678.56,46.86
679.06,46.90
679.56,46.88
680.06,46.76
680.56,46.95
681.06,46.84
681.56,46.89
682.06,46.82
682.56,46.87
683.06,46.90
683.56,47.03
684.06,47.01
684.56,46.76
685.06,47.03
685.56,46.93
686.06,46.92
686.56,46.92
687.06,46.92
687.56,47.10
688.06,46.91
688.56,46.85
689.06,46.78
689.56,46.92
690.06,46.80
690.56,47.02
691.06,46.97
691.56,46.92
692.06,46.91
692.56,47.06
693.06,46.92
693.56,46.92
694.06,46.81
694.56,46.89
695.06,47.01
695.56,46.85
696.06,47.18
696.56,46.99
697.06,46.96
697.56,47.00
698.06,46.93
698.56,46.96
699.06,46.88
699.56,46.93
700.06,46.95
700.56,47.07
701.06,46.81
701.56,46.73
702.06,46.93
702.56,46.94
703.06,47.06
703.56,47.07
704.06,46.98
704.56,46.99
705.06,46.88
705.56,47.01
706.06,46.89
706.56,47.00
707.06,46.94
707.56,46.94
708.06,46.96
708.56,47.04
709.06,47.07
709.56,46.93
710.06,47.01
710.56,46.98
711.06,46.98
711.56,46.95
712.06,47.02
712.56,46.98
713.06,46.96
713.56,46.97
714.06,46.94
714.56,47.02
715.06,47.10
715.56,46.99
716.06,46.89
716.56,46.88
717.06,47.01
717.56,46.65
718.06,46.81
718.56,46.99
719.06,46.99
719.56,46.90
720.06,46.99
720.56,47.10
721.06,46.85
721.56,47.05
722.06,46.92
722.56,47.14
723.06,47.03
723.56,47.07
724.06,46.91
724.56,46.96
725.06,47.03
725.56,46.98
726.06,47.07
726.56,46.95
727.06,47.12
727.56,47.07
728.06,46.74
728.56,47.22
729.06,46.90
729.56,46.96
730.06,47.28
730.56,47.01
731.06,47.09
731.56,47.12
732.06,47.03
732.56,47.03
733.06,47.03
733.56,47.18
734.06,47.07
734.56,47.13
735.06,47.14
735.56,47.05
736.06,46.91
736.56,47.07
737.06,47.00
737.56,46.99
738.06,46.77
738.56,46.87
739.06,46.91
739.56,47.01
740.06,46.99
740.56,46.93
741.06,46.93
741.56,46.98
742.06,47.04
742.56,47.26
743.06,47.02
743.56,46.99
744.06,47.11
744.56,46.85
745.06,46.99
745.56,47.05
746.06,47.02
746.56,47.17
747.06,47.02
747.56,47.05
748.06,47.27
748.56,47.05
749.06,47.10
749.56,47.14
750.06,46.77
750.56,47.07
751.06,46.92
751.56,47.03
752.06,47.12
752.56,46.87
753.06,46.96
753.56,46.99
754.06,47.14
754.56,47.04
755.06,47.11
755.56,47.10
756.06,46.95
756.56,47.09
757.06,47.14
757.56,46.94
758.06,47.28
758.56,47.07
759.06,47.13
759.56,47.11
760.06,47.06
760.56,47.13
761.06,47.29
761.56,47.05
762.06,47.26
762.56,46.95
763.06,47.09
763.56,47.10
764.06,47.22
764.56,46.96
765.06,47.06
765.56,47.04
766.06,47.03
766.56,47.35
767.06,47.16
767.56,47.05
768.06,47.23
768.56,47.21
769.06,47.05
769.56,47.21
770.06,46.90
770.56,47.04
771.06,47.24
771.56,47.20
772.06,47.32
772.56,47.08
773.06,47.22
773.56,47.02
774.06,47.10
774.56,47.16
775.06,47.06
775.56,47.31
776.06,47.07
776.56,47.17
777.06,47.07
777.56,47.21
778.06,47.13
778.56,47.06
779.06,46.89
779.56,46.91
780.06,46.99
780.56,47.11
781.06,47.09
781.56,47.09
782.06,47.30
782.56,47.04
783.06,47.02
783.56,46.97
784.06,47.13
784.56,47.04
785.06,47.17
785.56,46.80
786.06,46.97
786.56,47.23
787.06,46.98
787.56,46.86
788.06,47.08
788.56,47.26
789.06,47.20
789.56,47.06
790.06,47.28
790.56,47.26
791.06,47.38
791.56,47.03
792.06,47.18
792.56,47.30
793.06,47.27
793.56,47.18
794.06,47.08
794.56,47.19
795.06,47.01
795.56,47.24
796.06,47.25
796.56,46.97
797.06,47.01
797.56,47.12
798.06,47.16
798.56,47.16
799.06,47.16
799.56,47.28
800.06,47.13
800.56,47.07
801.06,47.31
801.56,47.20
802.06,47.28
802.56,47.07
803.06,46.91
803.56,47.10
804.06,47.24
804.56,47.04
805.06,47.18
805.56,47.12
806.06,47.29
806.56,47.18
807.06,47.21
807.56,47.33
808.06,47.18
808.56,47.24
809.06,47.17
809.56,47.14
810.06,47.04
810.56,47.36
811.06,47.30
811.56,47.25
812.06,47.00
812.56,47.07
813.06,47.31
813.56,47.11
814.06,47.33
814.56,47.33
815.06,47.09
815.56,47.23
816.06,47.30
816.56,47.21
817.06,47.21
817.56,47.14
818.06,47.21
818.56,47.29
819.06,47.33
819.56,47.39
820.06,47.29
820.56,47.24
821.06,47.40
821.56,47.36
822.06,47.26
822.56,47.59
823.06,47.35
823.56,47.26
824.06,47.23
824.56,47.17
825.06,47.26
825.56,47.12
826.06,47.12
826.56,47.22
827.06,47.34
827.56,47.21
828.06,47.26
828.56,47.31
829.06,47.06
829.56,47.34
830.06,47.23
830.56,47.19
831.06,47.55
831.56,47.27
832.06,47.39
832.56,47.14
833.06,47.36
833.56,47.16
834.06,47.33
834.56,47.20
835.06,47.24
835.56,47.24
836.06,47.30
836.56,47.29
837.06,47.21
837.56,47.32
838.06,47.28
838.56,47.28
839.06,47.32
839.56,47.25
840.06,47.30
840.56,47.32
841.06,47.26
841.56,47.43
842.06,47.41
842.56,47.27
843.06,47.26
843.56,47.22
844.06,47.28
844.56,47.52
845.06,47.28
845.56,47.35
846.06,47.18
846.56,47.31
847.06,47.37
847.56,47.46
848.06,47.25
848.56,47.31
849.06,47.46
849.56,47.32
850.06,47.38
850.56,47.34
851.06,47.39
851.56,47.26
852.06,47.29
852.56,47.35
853.06,47.26
853.56,47.28
854.06,47.39
854.56,47.27
855.06,47.33
855.56,47.53
856.06,47.41
856.56,47.44
857.06,47.40
857.56,47.31
858.06,47.38
858.56,47.33
859.06,47.44
859.56,47.68
860.06,47.41
860.56,47.33
861.06,47.25
861.56,47.45
862.06,47.53
862.56,47.29
863.06,47.41
863.56,47.29
864.06,47.30
864.56,47.35
865.06,47.37
865.56,47.44
866.06,47.43
866.56,47.51
867.06,47.35
867.56,47.06
868.06,47.24
868.56,47.39
869.06,47.27
869.56,47.31
870.06,47.39
870.56,47.48
871.06,47.39
871.56,47.44
872.06,47.25
